fullname,part_of
Sorex cinereus,Soricomorpha
Petrogale penicillata,Diprotodontia
Suncus murinus,Soricomorpha
Sorex tundrensis,Soricomorpha
Didelphis virginiana,Didelphimorphia
Sorex trowbridgii,Soricomorpha
Sorex tenellus,Soricomorpha
Sorex pacificus,Soricomorpha
Sorex preblei,Soricomorpha
Sorex ornatus,Soricomorpha
Sorex nanus,Soricomorpha
Sorex monticolus,Soricomorpha
Sorex merriami,Soricomorpha
Sorex lyelli,Soricomorpha
Sorex hoyi,Soricomorpha
Sorex haydeni,Soricomorpha
Sorex gaspensis,Soricomorpha
Sorex fumeus,Soricomorpha
Sorex dispar,Soricomorpha
Sorex arizonae,Soricomorpha
Sorex arcticus,Soricomorpha
Sorex longirostris,Soricomorpha
Sorex bendirii,Soricomorpha
Pongo tapanuliensis,Hominidae
Cheirogaleus shethi,Cheirogaleidae
Microcebus manitatra,Cheirogaleidae
Microcebus ganzhorni,Cheirogaleidae
Microcebus boraha,Cheirogaleidae
Plecturocebus aureipalatii,Pitheciidae
Plecturocebus stephennashi,Pitheciidae
Plecturocebus brunneus,Pitheciidae
Plecturocebus ornatus,Pitheciidae
Plecturocebus caligatus,Pitheciidae
Plecturocebus discolor,Pitheciidae
Plecturocebus caquetensis,Pitheciidae
Plecturocebus baptista,Pitheciidae
Plecturocebus cupreus,Pitheciidae
Plecturocebus hoffmannsi,Pitheciidae
Plecturocebus miltoni,Pitheciidae
Plecturocebus cinerascens,Pitheciidae
Plecturocebus bernhardi,Pitheciidae
Plecturocebus vieirai,Pitheciidae
Plecturocebus moloch,Pitheciidae
Plecturocebus modestus,Pitheciidae
Plecturocebus olallae,Pitheciidae
Plecturocebus oenanthe,Pitheciidae
Plecturocebus pallescens,Pitheciidae
Cheracebus purinus,Pitheciidae
Cheracebus regulus,Pitheciidae
Cheracebus lucifer,Pitheciidae
Plecturocebus donacophilus,Pitheciidae
Cheracebus medemi,Pitheciidae
Cheracebus lugens,Pitheciidae
Cheracebus torquatus,Pitheciidae
Giraffa reticulata,Giraffidae
Giraffa tippelskirchi,Giraffidae
Cheirogaleus andysabini,Cheirogaleidae
Saimiri collinsi,Cebidae
Macaca leucogenys,Cercopithecidae
Cacajao hosomi,Pitheciidae
Cacajao ayresi,Pitheciidae
Pithecia vanzolinii,Pitheciidae
Pithecia napensis,Pitheciidae
Pithecia milleri,Pitheciidae
Pithecia chrysocephala,Pitheciidae
Eumops ferox,Molossidae
Mormopterus halli,Molossidae
Mormopterus cobourgianus,Molossidae
Mormopterus ridei,Molossidae
Mormopterus lumsdenae,Molossidae
Canis anthus,Canidae
Pedetes surdaster,Pedetidae
Mormopterus kitcheneri,Molossidae
Mormopterus petersi,Molossidae
Akodon caenosus,Cricetidae
Calomys cerqueirai,Cricetidae
Baiyankamys shawmayeri,Muridae
Baiyankamys habbema,Muridae
Hydromys ziegleri,Muridae
Margaretamys christinae,Muridae
Paucidentomys vermidax,Muridae
Waiomys mamasae,Muridae
Oecomys sydandersoni,Cricetidae
Saxatilomys paulinae,Muridae
Leptomys arfakensis,Muridae
Leptomys paulus,Muridae
Coccymys shawmayeri,Muridae
Coccymys kirrhos,Muridae
Eliurus danieli,Nesomyidae
Neomicroxus latebricola,Cricetidae
Neomicroxus bogotensis,Cricetidae
Hylomyscus kerbispeterhansi,Muridae
Microhydromys argenteus,Muridae
Musseromys gulantang,Muridae
Soricomys musseri,Muridae
Soricomys kalinga,Muridae
Sooretamys angouya,Cricetidae
Nephelomys pectoralis,Cricetidae
Transandinomys talamancae,Cricetidae
Oreoryzomys balneator,Cricetidae
Nephelomys nimbosus,Cricetidae
Transandinomys bolivaris,Cricetidae
Nephelomys moerex,Cricetidae
Nephelomys keaysi,Cricetidae
Nephelomys devius,Cricetidae
Nephelomys childi,Cricetidae
Nephelomys pirrensis,Cricetidae
Nephelomys meridensis,Cricetidae
Nephelomys maculiventer,Cricetidae
Nephelomys levipes,Cricetidae
Nephelomys caracolus,Cricetidae
Nephelomys auriventer,Cricetidae
Nephelomys albigularis,Cricetidae
Hylaeamys megacephalus,Cricetidae
Hylaeamys laticeps,Cricetidae
Hylaeamys oniscus,Cricetidae
Mindomys hammondi,Cricetidae
Hylaeamys perenensis,Cricetidae
Hylaeamys tatei,Cricetidae
Hylaeamys yunganus,Cricetidae
Hylaeamys acritus,Cricetidae
Mirzamys norahae,Muridae
Mirzamys louiseae,Muridae
Pseudohydromys germani,Muridae
Pseudohydromys pumehanae,Muridae
Pseudohydromys musseri,Muridae
Pseudohydromys sandrae,Muridae
Pseudohydromys patriciae,Muridae
Pseudohydromys eleanorae,Muridae
Euryoryzomys russatus,Cricetidae
Euryoryzomys legatus,Cricetidae
Euryoryzomys lamia,Cricetidae
Euryoryzomys macconnelli,Cricetidae
Euryoryzomys emmonsae,Cricetidae
Euryoryzomys nitidus,Cricetidae
Cerradomys goytaca,Cricetidae
Cerradomys vivoi,Cricetidae
Cerradomys langguthi,Cricetidae
Eremoryzomys polius,Cricetidae
Cerradomys subflavus,Cricetidae
Cerradomys scotti,Cricetidae
Cerradomys marinhus,Cricetidae
Cerradomys maracajuensis,Cricetidae
Aegialomys galapagoensis,Cricetidae
Aegialomys xanthaeolus,Cricetidae
Tonkinomys daovantieni,Muridae
Voalavo antsahabensis,Nesomyidae
Halmaheramys bokimekot,Muridae
Rattus satarae,Muridae
Mus nitidulus,Muridae
Otomys orestes,Muridae
Otomys uzungwensis,Muridae
Otomys lacustris,Muridae
Otomys jacksoni,Muridae
Otomys dollmani,Muridae
Otomys dartmouthi,Muridae
Otomys cuanzensis,Muridae
Otomys burtoni,Muridae
Otomys barbouri,Muridae
Myotomys unisulcatus,Muridae
Myotomys sloggetti,Muridae
Uromys neobritannicus,Muridae
Uromys siebersi,Muridae
Uromys emmae,Muridae
Vandeleuria nilagirica,Muridae
Sommeromys macrorhinos,Muridae
Rattus omichlodes,Muridae
Rattus niobe,Muridae
Rattus vandeuseni,Muridae
Rattus richardsoni,Muridae
Rattus verecundus,Muridae
Stenocephalemys ruppi,Muridae
Stenocephalemys albipes,Muridae
Rhabdomys dilectus,Muridae
Rattus blangorum,Muridae
Rhagamys orthodon,Muridae
Taeromys microbullatus,Muridae
Rattus pyctoris,Muridae
Thamnomys major,Muridae
Rattus salocco,Muridae
Rattus pococki,Muridae
Rattus arrogans,Muridae
Rattus arfakiensis,Muridae
Pseudomys calabyi,Muridae
Rattus andamanensis,Muridae
Pseudohydromys fuscus,Muridae
Pseudohydromys ellermani,Muridae
Protochromys fellowsi,Muridae
Praomys petteri,Muridae
Praomys verschureni,Muridae
Praomys obscurus,Muridae
Praomys lukolelae,Muridae
Praomys derooi,Muridae
Praomys degraaffi,Muridae
Praomys daltoni,Muridae
Pogonomys fergussoniensis,Muridae
Pithecheirops otion,Muridae
Pithecheir melanurus,Muridae
Paramelomys steini,Muridae
Paramelomys rubex,Muridae
Paramelomys platyops,Muridae
Paramelomys naso,Muridae
Paramelomys moncktoni,Muridae
Paramelomys mollis,Muridae
Paramelomys lorentzii,Muridae
Paramelomys levipes,Muridae
Niviventer fraternus,Muridae
Paramelomys gressitti,Muridae
Niviventer cameroni,Muridae
Uromys boeadii,Muridae
Nesoromys ceramicus,Muridae
Myomyscus yemeni,Muridae
Myomyscus verreauxii,Muridae
Niviventer coninga,Muridae
Nilopegamys plumbeus,Muridae
Myomyscus brockmani,Muridae
Mylomys rex,Muridae
Mus fragilicauda,Muridae
Micaelamys granti,Muridae
Myomyscus angolensis,Muridae
Micaelamys namaquensis,Muridae
Melomys talaudium,Muridae
Melomys paveli,Muridae
Melomys lutillus,Muridae
Melomys matambuai,Muridae
Melomys fulgens,Muridae
Melomys howi,Muridae
Melomys frigicola,Muridae
Melomys dollmani,Muridae
Melomys cooperae,Muridae
Melomys caurinus,Muridae
Melomys bannisteri,Muridae
Melomys arcium,Muridae
Mastomys kollmannspergeri,Muridae
Mastomys awashensis,Muridae
Mastacomys fuscus,Muridae
Mastomys huberti,Muridae
Mammelomys rattoides,Muridae
Mammelomys lanosus,Muridae
Madromys blanfordi,Muridae
Limnomys bryophilus,Muridae
Lemniscomys zebra,Muridae
Leopoldamys milleti,Muridae
Leopoldamys ciliatus,Muridae
Hylomyscus grandis,Muridae
Hydromys neobritannicus,Muridae
Hadromys yunnanensis,Muridae
Hybomys badius,Muridae
Grammomys kuru,Muridae
Grammomys poensis,Muridae
Echiothrix centrosa,Muridae
Desmomys yaldeni,Muridae
Diplothrix legata,Muridae
Dephomys eburneae,Muridae
Dasymys sua,Muridae
Dasymys rwandae,Muridae
Dasymys cabrali,Muridae
Crunomys suncoides,Muridae
Dasymys alleni,Muridae
Crateromys heaneyi,Muridae
Chrotomys silaceus,Muridae
Bullimus gamay,Muridae
Arvicanthis rufinus,Muridae
Batomys russatus,Muridae
Arvicanthis niloticus,Muridae
Apomys hylocetes,Muridae
Arvicanthis ansorgei,Muridae
Apomys gracilirostris,Muridae
Apodemus witherbyi,Muridae
Apodemus pallipes,Muridae
Apodemus epimelas,Muridae
Taterillus tranieri,Muridae
Abeomelomys sevia,Muridae
Aethomys ineptus,Muridae
Meriones grandis,Muridae
Gerbilliscus validus,Muridae
Gerbilliscus robustus,Muridae
Gerbilliscus phillipsi,Muridae
Gerbilliscus leucogaster,Muridae
Gerbilliscus nigricaudus,Muridae
Gerbilliscus inclusus,Muridae
Gerbilliscus guineae,Muridae
Gerbilliscus brantsii,Muridae
Gerbilliscus afra,Muridae
Gerbilliscus boehmi,Muridae
Dipodillus zakariai,Muridae
Dipodillus stigmonyx,Muridae
Dipodillus somalicus,Muridae
Dipodillus simoni,Muridae
Dipodillus rupicola,Muridae
Dipodillus maghrebi,Muridae
Dipodillus mackilligini,Muridae
Dipodillus lowei,Muridae
Dipodillus harwoodi,Muridae
Dipodillus dasyurus,Muridae
Dipodillus jamesi,Muridae
Dipodillus campestris,Muridae
Lophuromys zena,Muridae
Dipodillus bottai,Muridae
Lophuromys verhageni,Muridae
Lophuromys roseveari,Muridae
Lophuromys huttereri,Muridae
Lophuromys eisentrauti,Muridae
Lophuromys dudui,Muridae
Lophuromys dieterleni,Muridae
Lophuromys chrysopus,Muridae
Lophuromys brevicaudus,Muridae
Lophuromys ansorgei,Muridae
Lophuromys aquilus,Muridae
Lophuromys angolensis,Muridae
Lophuromys brunneus,Muridae
Acomys johannis,Muridae
Acomys cineraceus,Muridae
Acomys seurati,Muridae
Acomys dimidiatus,Muridae
Acomys chudeaui,Muridae
Acomys cahirinus,Muridae
Acomys airensis,Muridae
Thomasomys vulcani,Cricetidae
Thomasomys praetor,Cricetidae
Thomasomys ucucha,Cricetidae
Thomasomys popayanus,Cricetidae
Thomasomys macrotis,Cricetidae
Thomasomys onkiro,Cricetidae
Thomasomys ischyrus,Cricetidae
Thomasomys hudsoni,Cricetidae
Thomasomys erro,Cricetidae
Thomasomys caudivarius,Cricetidae
Thomasomys cinnameus,Cricetidae
Thomasomys apeco,Cricetidae
Thaptomys nigrita,Cricetidae
Sigmodon zanjonensis,Cricetidae
Sigmodon planifrons,Cricetidae
Tapecomys primus,Cricetidae
Sigmodon toltecus,Cricetidae
Sigmodon hirsutus,Cricetidae
Rhipidomys modicus,Cricetidae
Rhipidomys macrurus,Cricetidae
Rhipidomys gardneri,Cricetidae
Scapteromys aquaticus,Cricetidae
Salinomys delicatus,Cricetidae
Reithrodon typicus,Cricetidae
Punomys kofordi,Cricetidae
Rhipidomys emiliae,Cricetidae
Rhagomys longilingua,Cricetidae
Phyllotis bonariensis,Cricetidae
Pearsonomys annectens,Cricetidae
Oecomys catherinae,Cricetidae
Oxymycterus amazonicus,Cricetidae
Oxymycterus quaestor,Cricetidae
Oecomys auyantepui,Cricetidae
Paralomys gerbillus,Cricetidae
Nectomys rattus,Cricetidae
Oxymycterus caparoae,Cricetidae
Oligoryzomys stramineus,Cricetidae
Oligoryzomys fornesi,Cricetidae
Oxymycterus josei,Cricetidae
Oligoryzomys brendae,Cricetidae
Oxymycterus dasytrichus,Cricetidae
Noronhomys vespuccii,Cricetidae
Oryzomys curasoae,Cricetidae
Nectomys magdalenae,Cricetidae
Nectomys apicalis,Cricetidae
Necromys urichi,Cricetidae
Necromys temchuki,Cricetidae
Necromys punctulatus,Cricetidae
Necromys obscurus,Cricetidae
Necromys lenguarum,Cricetidae
Necromys lasiurus,Cricetidae
Necromys benefactus,Cricetidae
Necromys lactens,Cricetidae
Necromys amoenus,Cricetidae
Neacomys paracou,Cricetidae
Neacomys musseri,Cricetidae
Neacomys minutus,Cricetidae
Neacomys dubosti,Cricetidae
Microakodontomys transitorius,Cricetidae
Megaoryzomys curioi,Cricetidae
Loxodontomys micropus,Cricetidae
Lundomys molitor,Cricetidae
Juliomys rimofrons,Cricetidae
Loxodontomys pikumche,Cricetidae
Juliomys pictipes,Cricetidae
Handleyomys intectus,Cricetidae
Graomys centralis,Cricetidae
Handleyomys fuscatus,Cricetidae
Deltamys kempi,Cricetidae
Chibchanomys orcesi,Cricetidae
Chelemys delfini,Cricetidae
Calomys venustus,Cricetidae
Phyllotis limatus,Cricetidae
Calomys expulsus,Cricetidae
Calomys tocantinsi,Cricetidae
Brucepattersonius paradisus,Cricetidae
Brucepattersonius soricinus,Cricetidae
Brucepattersonius misionensis,Cricetidae
Brucepattersonius iheringi,Cricetidae
Brucepattersonius igniventris,Cricetidae
Brucepattersonius guarani,Cricetidae
Andalgalomys roigi,Cricetidae
Brucepattersonius griserufescens,Cricetidae
Akodon reigi,Cricetidae
Amphinectomys savamis,Cricetidae
Akodon pervalens,Cricetidae
Akodon paranaensis,Cricetidae
Akodon mystax,Cricetidae
Akodon montensis,Cricetidae
Akodon lutescens,Cricetidae
Aepeomys reigi,Cricetidae
Abrothrix sanborni,Cricetidae
Abrothrix olivaceus,Cricetidae
Abrothrix markhami,Cricetidae
Abrothrix longipilis,Cricetidae
Abrothrix lanosus,Cricetidae
Abrothrix jelskii,Cricetidae
Abrothrix illuteus,Cricetidae
Abrothrix hershkovitzi,Cricetidae
Abrothrix andinus,Cricetidae
Peromyscus sagax,Cricetidae
Peromyscus hylocetes,Cricetidae
Peromyscus beatae,Cricetidae
Peromyscus fraterculus,Cricetidae
Neotoma macrotis,Cricetidae
Neotoma leucodon,Cricetidae
Habromys ixtlani,Cricetidae
Habromys delicatulus,Cricetidae
Neodon sikimensis,Cricetidae
Neodon forresti,Cricetidae
Neodon irene,Cricetidae
Myodes smithii,Cricetidae
Myodes shanseius,Cricetidae
Myodes rutilus,Cricetidae
Myodes rufocanus,Cricetidae
Myodes rex,Cricetidae
Myodes imaizumii,Cricetidae
Myodes regulus,Cricetidae
Myodes glareolus,Cricetidae
Myodes gapperi,Cricetidae
Myodes californicus,Cricetidae
Myodes centralis,Cricetidae
Microtus schidlovskii,Cricetidae
Myodes andersoni,Cricetidae
Microtus qazvinensis,Cricetidae
Microtus paradoxus,Cricetidae
Microtus liechtensteini,Cricetidae
Microtus kikuchii,Cricetidae
Microtus levis,Cricetidae
Microtus ilaeus,Cricetidae
Microtus dogramacii,Cricetidae
Microtus clarkei,Cricetidae
Microtus anatolicus,Cricetidae
Microtus brachycercus,Cricetidae
Lemmus portenkoi,Cricetidae
Eothenomys miletus,Cricetidae
Eothenomys wardi,Cricetidae
Caryomys inez,Cricetidae
Eothenomys cachinus,Cricetidae
Blanfordimys bucharensis,Cricetidae
Caryomys eva,Cricetidae
Arvicola amphibius,Cricetidae
Alticola olchonensis,Cricetidae
Arvicola scherman,Cricetidae
Alticola albicaudus,Cricetidae
Voalavo gymnocaudus,Nesomyidae
Nesomys lambertoni,Nesomyidae
Nesomys audeberti,Nesomyidae
Eliurus petteri,Nesomyidae
Monticolomys koopmani,Nesomyidae
Eliurus grandidieri,Nesomyidae
Eliurus ellermani,Nesomyidae
Eliurus antsingy,Nesomyidae
Brachytarsomys villosa,Nesomyidae
Steatomys opimus,Nesomyidae
Steatomys bocagei,Nesomyidae
Dendromus nyasae,Nesomyidae
Dendromus leucostomus,Nesomyidae
Cricetomys kivuensis,Nesomyidae
Calomyscus grandis,Calomyscidae
Cricetomys ansorgei,Nesomyidae
Tachyoryctes storeyi,Spalacidae
Calomyscus elburzensis,Calomyscidae
Tachyoryctes ibeanus,Spalacidae
Spalax uralensis,Spalacidae
Spalax nehringi,Spalacidae
Spalax golani,Spalacidae
Spalax judaei,Spalacidae
Spalax leucodon,Spalacidae
Spalax galili,Spalacidae
Spalax ehrenbergi,Spalacidae
Spalax carmeli,Spalacidae
Eospalax smithii,Spalacidae
Eospalax rothschildi,Spalacidae
Eospalax fontanierii,Spalacidae
Salpingotulus michaelis,Dipodidae
Allactaga williamsi,Dipodidae
Dryomys niethammeri,Gliridae
Eliomys munbyanus,Gliridae
Graphiurus nagtglasii,Gliridae
Chaetocauda sichuanensis,Gliridae
Graphiurus johnstoni,Gliridae
Graphiurus angolensis,Gliridae
Hsunycteris thomasi,Phyllostomidae
Glis glis,Gliridae
Vampyriscus brocki,Phyllostomidae
Vampyriscus nymphaea,Phyllostomidae
Vampyriscus bidens,Phyllostomidae
Myotis midastactus,Vespertilionidae
Rhinolophus belligerator,Rhinolophidae
Rhinolophus mcintyrei,Rhinolophidae
Anoura cadenai,Phyllostomidae
Thyroptera wynneae,Thyropteridae
Rhinolophus proconsulis,Rhinolophidae
Scotophilus trujilloi,Vespertilionidae
Scotophilus ejetai,Vespertilionidae
Scotophilus livingstonii,Vespertilionidae
Scotophilus tandrefana,Vespertilionidae
Scotophilus andrewreborii,Vespertilionidae
Rhinolophus damarensis,Rhinolophidae
Casinycteris campomaanensis,Pteropodidae
Myotis escalerai,Vespertilionidae
Miniopterus griffithsi,Miniopteridae
Miniopterus mahafaliensis,Miniopteridae
Miniopterus brachytragos,Miniopteridae
Triaenops parvus,Hipposideridae
Paratriaenops furculus,Hipposideridae
Paratriaenops pauliani,Hipposideridae
Paratriaenops auritus,Hipposideridae
Neoromicia roseveari,Vespertilionidae
Rhinolophus mossambicus,Rhinolophidae
Rhinolophus cohenae,Rhinolophidae
Rhinolophus smithersi,Rhinolophidae
Megaloglossus azagnyi,Pteropodidae
Sturnira burtonlimi,Phyllostomidae
Rhinolophus bocharicus,Rhinolophidae
Rhinopoma hadramauticum,Rhinopomatidae
Neoromicia somalica,Vespertilionidae
Neoromicia nana,Vespertilionidae
Tylonycteris pygmaeus,Vespertilionidae
Neoromicia brunnea,Vespertilionidae
Myotis phanluongi,Vespertilionidae
Lonchophylla orcesi,Phyllostomidae
Lonchophylla chocoana,Phyllostomidae
Pteropus coxi,Pteropodidae
Pteropus allenorum,Pteropodidae
Myotis diminutus,Vespertilionidae
Triaenops menamena,Hipposideridae
Sturnira koopmanhilli,Phyllostomidae
Natalus macrourus,Natalidae
Dryadonycteris capixaba,Phyllostomidae
Niumbaha superba,Vespertilionidae
Sturnira sorianoi,Phyllostomidae
Rhinolophus xinanzhongguoensis,Rhinolophidae
Micronycteris giovanniae,Phyllostomidae
Perimyotis subflavus,Vespertilionidae
Dyacopterus rickarti,Pteropodidae
Parastrellus hesperus,Vespertilionidae
Epomophorus anselli,Pteropodidae
Plecotus ognevi,Vespertilionidae
Plecotus macrobullaris,Vespertilionidae
Dermanura tolteca,Phyllostomidae
Dermanura azteca,Phyllostomidae
Dermanura rosenbergi,Phyllostomidae
Dermanura glauca,Phyllostomidae
Dermanura watsoni,Phyllostomidae
Dermanura gnoma,Phyllostomidae
Dermanura anderseni,Phyllostomidae
Dermanura bogotensis,Phyllostomidae
Murina balaensis,Vespertilionidae
Lonchophylla peracchii,Phyllostomidae
Neoromicia robertsi,Vespertilionidae
Lophostoma occidentalis,Phyllostomidae
Miniopterus egeri,Miniopteridae
Miniopterus petersoni,Miniopteridae
Sturnira perla,Phyllostomidae
Eptesicus taddeii,Vespertilionidae
Chaerephon atsinanana,Molossidae
Myotis flavus,Vespertilionidae
Hipposideros griffini,Hipposideridae
Lophostoma kalkoae,Phyllostomidae
Coleura kibomalandy,Emballonuridae
Mormopterus eleryi,Molossidae
Paremballonura atrata,Emballonuridae
Paremballonura tiavato,Emballonuridae
Micronycteris yatesi,Phyllostomidae
Natalus lanatus,Natalidae
Anoura fistulata,Phyllostomidae
Xeronycteris vieirai,Phyllostomidae
Thyroptera devivoi,Thyropteridae
Asellia italosomalica,Hipposideridae
Asellia arabica,Hipposideridae
Myotis dieteri,Vespertilionidae
Rhogeessa menchuae,Vespertilionidae
Rhogeessa bickhami,Vespertilionidae
Artibeus schwartzi,Phyllostomidae
Anoura peruana,Phyllostomidae
Carollia benkeithi,Phyllostomidae
Carollia monohernandezi,Phyllostomidae
Carollia manu,Phyllostomidae
Barbastella beijingensis,Vespertilionidae
Chaerephon jobimena,Molossidae
Otonycteris leucophaea,Vespertilionidae
Miniopterus aelleni,Miniopteridae
Lophostoma yasuni,Phyllostomidae
Murina eleryi,Vespertilionidae
Murina harrisoni,Vespertilionidae
Murina gracilis,Vespertilionidae
Murina bicolor,Vespertilionidae
Eumops nanus,Molossidae
Desmalopex microleucopterus,Pteropodidae
Kerivoula titania,Vespertilionidae
Styloctenium mindorensis,Pteropodidae
Murina beelzebub,Vespertilionidae
Eumops wilsoni,Molossidae
Murina walstoni,Vespertilionidae
Rhinolophus microglobosus,Rhinolophidae
Desmalopex leucopterus,Pteropodidae
Kerivoula kachinensis,Vespertilionidae
Harpiola grisea,Vespertilionidae
Harpiola isodon,Vespertilionidae
Miniopterus griveaudi,Miniopteridae
Hipposideros khaokhouayensis,Hipposideridae
Scotophilus marovaza,Vespertilionidae
Hipposideros boeadii,Hipposideridae
Nyctophilus shirleyae,Vespertilionidae
Nyctophilus corbeni,Vespertilionidae
Pteralopex flanneryi,Pteropodidae
Mirimiri acrodonta,Pteropodidae
Myzopoda schliemanni,Myzopodidae
Nyctophilus major,Vespertilionidae
Pipistrellus raceyi,Vespertilionidae
Dermanura phaeotis,Phyllostomidae
Dermanura cinerea,Phyllostomidae
Sturnira hondurensis,Phyllostomidae
Triaenops afer,Hipposideridae
Natalus mexicanus,Natalidae
Rhinolophus tatar,Rhinolophidae
Lonchophylla concava,Phyllostomidae
Myotis petax,Vespertilionidae
Myotis taiwanensis,Vespertilionidae
Plecotus christiei,Vespertilionidae
Nyctophilus daedalus,Vespertilionidae
Nyctophilus sherrini,Vespertilionidae
Plecotus sacrimontis,Vespertilionidae
Neoromicia malagasyensis,Vespertilionidae
Rhinopoma cystops,Rhinopomatidae
Eumops floridanus,Molossidae
Phoniscus papuensis,Vespertilionidae
Phoniscus jagorii,Vespertilionidae
Phoniscus atrox,Vespertilionidae
Phoniscus aerosa,Vespertilionidae
Murina ryukyuana,Vespertilionidae
Kerivoula lenis,Vespertilionidae
Harpiocephalus mordax,Vespertilionidae
Murina hilgendorfi,Vespertilionidae
Miniopterus shortridgei,Miniopteridae
Miniopterus schreibersii,Miniopteridae
Miniopterus paululus,Miniopteridae
Miniopterus medius,Miniopteridae
Miniopterus natalensis,Miniopteridae
Miniopterus majori,Miniopteridae
Miniopterus macrocneme,Miniopteridae
Miniopterus manavi,Miniopteridae
Miniopterus gleni,Miniopteridae
Myotis yanbarensis,Vespertilionidae
Miniopterus africanus,Miniopteridae
Myotis oxygnathus,Vespertilionidae
Myotis punicus,Vespertilionidae
Myotis occultus,Vespertilionidae
Myotis nipalensis,Vespertilionidae
Myotis melanorhinus,Vespertilionidae
Myotis moluccarum,Vespertilionidae
Myotis laniger,Vespertilionidae
Myotis macropus,Vespertilionidae
Myotis hermani,Vespertilionidae
Myotis hajastanicus,Vespertilionidae
Myotis gomantongensis,Vespertilionidae
Myotis fimbriatus,Vespertilionidae
Myotis davidii,Vespertilionidae
Myotis daubentonii,Vespertilionidae
Myotis csorbai,Vespertilionidae
Myotis bucharensis,Vespertilionidae
Myotis brandtii,Vespertilionidae
Myotis bocagii,Vespertilionidae
Myotis ater,Vespertilionidae
Myotis annamiticus,Vespertilionidae
Myotis bechsteinii,Vespertilionidae
Myotis anjouanensis,Vespertilionidae
Cistugo seabrae,Cistugidae
Cistugo lesueuri,Cistugidae
Bauerus dubiaquercus,Vespertilionidae
Vespertilio sinensis,Vespertilionidae
Myotis alcathoe,Vespertilionidae
Vespadelus vulturnus,Vespertilionidae
Vespadelus regulus,Vespertilionidae
Vespadelus troughtoni,Vespertilionidae
Vespadelus pumilus,Vespertilionidae
Vespadelus finlaysoni,Vespertilionidae
Vespadelus darlingtoni,Vespertilionidae
Vespadelus caurinus,Vespertilionidae
Vespadelus douglasorum,Vespertilionidae
Vespadelus baverstocki,Vespertilionidae
Neoromicia zuluensis,Vespertilionidae
Neoromicia tenuipinnis,Vespertilionidae
Neoromicia rendalli,Vespertilionidae
Neoromicia helios,Vespertilionidae
Neoromicia guineensis,Vespertilionidae
Neoromicia flavescens,Vespertilionidae
Hypsugo vordermanni,Vespertilionidae
Hypsugo savii,Vespertilionidae
Neoromicia capensis,Vespertilionidae
Hypsugo pulveratus,Vespertilionidae
Hypsugo musciculus,Vespertilionidae
Hypsugo macrotis,Vespertilionidae
Hypsugo crassulus,Vespertilionidae
Hypsugo imbricatus,Vespertilionidae
Hypsugo bodenheimeri,Vespertilionidae
Hypsugo eisentrauti,Vespertilionidae
Hypsugo joffrei,Vespertilionidae
Hypsugo lophurus,Vespertilionidae
Hypsugo ariel,Vespertilionidae
Hypsugo anthonyi,Vespertilionidae
Hypsugo arabicus,Vespertilionidae
Hypsugo cadornae,Vespertilionidae
Hypsugo anchietae,Vespertilionidae
Histiotus laephotis,Vespertilionidae
Histiotus humboldti,Vespertilionidae
Histiotus magellanicus,Vespertilionidae
Glauconycteris variegata,Vespertilionidae
Glauconycteris poensis,Vespertilionidae
Glauconycteris machadoi,Vespertilionidae
Glauconycteris kenyacola,Vespertilionidae
Glauconycteris gleni,Vespertilionidae
Glauconycteris humeralis,Vespertilionidae
Glauconycteris egeria,Vespertilionidae
Glauconycteris curryae,Vespertilionidae
Glauconycteris beatrix,Vespertilionidae
Glauconycteris argentata,Vespertilionidae
Falsistrellus tasmaniensis,Vespertilionidae
Glauconycteris alboguttata,Vespertilionidae
Falsistrellus petersi,Vespertilionidae
Falsistrellus mordax,Vespertilionidae
Chalinolobus neocaledonicus,Vespertilionidae
Falsistrellus mackenziei,Vespertilionidae
Falsistrellus affinis,Vespertilionidae
Plecotus sardus,Vespertilionidae
Plecotus kolombatovici,Vespertilionidae
Plecotus alpinus,Vespertilionidae
Plecotus balensis,Vespertilionidae
Pipistrellus wattsi,Vespertilionidae
Scotozous dormeri,Vespertilionidae
Pipistrellus westralis,Vespertilionidae
Pipistrellus rueppellii,Vespertilionidae
Pipistrellus deserti,Vespertilionidae
Pipistrellus papuanus,Vespertilionidae
Pipistrellus hesperidus,Vespertilionidae
Pipistrellus pygmaeus,Vespertilionidae
Pipistrellus adamsi,Vespertilionidae
Pipistrellus collinus,Vespertilionidae
Hypsugo kitcheneri,Vespertilionidae
Pipistrellus angulatus,Vespertilionidae
Pipistrellus abramus,Vespertilionidae
Nyctalus plancyi,Vespertilionidae
Nyctophilus nebulosus,Vespertilionidae
Nyctophilus bifax,Vespertilionidae
Nyctophilus howensis,Vespertilionidae
Nyctalus furvus,Vespertilionidae
Scotorepens sanborni,Vespertilionidae
Scotorepens greyii,Vespertilionidae
Scotorepens orion,Vespertilionidae
Scotophilus nucella,Vespertilionidae
Scotorepens balstoni,Vespertilionidae
Scotophilus collinus,Vespertilionidae
Scotoecus hindei,Vespertilionidae
Scotophilus heathii,Vespertilionidae
Scotoecus albigula,Vespertilionidae
Scoteanax rueppellii,Vespertilionidae
Rhogeessa hussoni,Vespertilionidae
Rhogeessa aeneus,Vespertilionidae
Rhogeessa io,Vespertilionidae
Nycticeius cubanus,Vespertilionidae
